gravity = -0.350000, wind = -0.050000
i = 35, p_x= -308.240051, p_y = 15.319992, p_z = 329.000000, v_x= -0.080000, v_y = 0.190000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 36, p_x= -308.320038, p_y = 15.509992, p_z = 329.000000, v_x= -0.082500, v_y = 0.172500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 37, p_x= -308.402527, p_y = 15.682491, p_z = 329.000000, v_x= -0.085000, v_y = 0.155000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 38, p_x= -308.487518, p_y = 15.837491, p_z = 329.000000, v_x= -0.087500, v_y = 0.137500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 39, p_x= -308.575012, p_y = 15.974991, p_z = 329.000000, v_x= -0.090000, v_y = 0.120000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 40, p_x= -308.665009, p_y = 16.094990, p_z = 329.000000, v_x= -0.092500, v_y = 0.102500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 41, p_x= -308.757507, p_y = 16.197489, p_z = 329.000000, v_x= -0.095000, v_y = 0.085000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 42, p_x= -308.852509, p_y = 16.282488, p_z = 329.000000, v_x= -0.097500, v_y = 0.067500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 43, p_x= -308.950012, p_y = 16.349987, p_z = 329.000000, v_x= -0.100000, v_y = 0.050000, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 44, p_x= -309.050018, p_y = 16.399986, p_z = 329.000000, v_x= -0.102500, v_y = 0.032500, v_z = 0.000000, Δv_x = -0.050000, Δv_y = -0.350000

i = 45, p_x= -309.152527, p_y = 16.432486, p_z = 329.000000, v_x= -0.002500, v_y = 0.015000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 46, p_x= -309.155029, p_y = 16.447485, p_z = 329.250000, v_x= -0.005000, v_y = -0.002500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 47, p_x= -309.160034, p_y = 16.444984, p_z = 329.500000, v_x= -0.007500, v_y = -0.020000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 48, p_x= -309.167542, p_y = 16.424984, p_z = 329.750000, v_x= -0.010000, v_y = -0.037500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 49, p_x= -309.177551, p_y = 16.387484, p_z = 330.000000, v_x= -0.012500, v_y = -0.055000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 50, p_x= -309.190063, p_y = 16.332483, p_z = 330.250000, v_x= -0.015000, v_y = -0.072500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 51, p_x= -309.205078, p_y = 16.259983, p_z = 330.500000, v_x= -0.017500, v_y = -0.090000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 52, p_x= -309.222565, p_y = 16.169983, p_z = 330.750000, v_x= -0.020000, v_y = -0.107500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 53, p_x= -309.242554, p_y = 16.062483, p_z = 331.000000, v_x= -0.022500, v_y = -0.125000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 54, p_x= -309.265045, p_y = 15.937483, p_z = 331.250000, v_x= -0.025000, v_y = -0.142500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 55, p_x= -309.290039, p_y = 15.794983, p_z = 331.500000, v_x= -0.027500, v_y = -0.160000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 56, p_x= -309.317535, p_y = 15.634983, p_z = 331.750000, v_x= -0.030000, v_y = -0.177500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 57, p_x= -309.347534, p_y = 15.457482, p_z = 332.000000, v_x= -0.032500, v_y = -0.195000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 58, p_x= -309.380035, p_y = 15.262482, p_z = 332.250000, v_x= -0.035000, v_y = -0.212500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 59, p_x= -309.415039, p_y = 15.049981, p_z = 332.500000, v_x= -0.037500, v_y = -0.230000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 60, p_x= -309.452545, p_y = 14.819981, p_z = 332.750000, v_x= -0.040000, v_y = -0.247500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 61, p_x= -309.492554, p_y = 14.572480, p_z = 333.000000, v_x= -0.042500, v_y = -0.265000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 62, p_x= -309.535065, p_y = 14.307480, p_z = 333.250000, v_x= -0.045000, v_y = -0.282500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 63, p_x= -309.580078, p_y = 14.024980, p_z = 333.500000, v_x= -0.047500, v_y = -0.300000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 64, p_x= -309.627563, p_y = 13.724979, p_z = 333.750000, v_x= -0.050000, v_y = -0.317500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 65, p_x= -309.677551, p_y = 13.407479, p_z = 334.000000, v_x= -0.052500, v_y = -0.335000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 66, p_x= -309.730042, p_y = 13.072479, p_z = 334.250000, v_x= -0.055000, v_y = -0.352500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 67, p_x= -309.785034, p_y = 12.719979, p_z = 334.500000, v_x= -0.057500, v_y = -0.370000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 68, p_x= -309.842529, p_y = 12.349979, p_z = 334.750000, v_x= -0.060000, v_y = -0.387500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 69, p_x= -309.902527, p_y = 11.962480, p_z = 335.000000, v_x= -0.062500, v_y = -0.405000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 70, p_x= -309.965027, p_y = 11.557480, p_z = 335.250000, v_x= -0.065000, v_y = -0.422500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 71, p_x= -310.030029, p_y = 11.134979, p_z = 335.500000, v_x= -0.067500, v_y = -0.440000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 72, p_x= -310.097534, p_y = 10.694979, p_z = 335.750000, v_x= -0.070000, v_y = -0.457500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 73, p_x= -310.167542, p_y = 10.237478, p_z = 336.000000, v_x= -0.072500, v_y = -0.475000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 74, p_x= -310.240051, p_y = 9.762478, p_z = 336.250000, v_x= -0.075000, v_y = -0.492500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 75, p_x= -310.315063, p_y = 9.269978, p_z = 336.500000, v_x= -0.077500, v_y = -0.510000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 76, p_x= -310.392578, p_y = 8.759977, p_z = 336.750000, v_x= -0.080000, v_y = -0.527500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 77, p_x= -310.472565, p_y = 8.232477, p_z = 337.000000, v_x= -0.082500, v_y = -0.545000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 78, p_x= -310.555054, p_y = 7.687477, p_z = 337.250000, v_x= -0.085000, v_y = -0.562500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 79, p_x= -310.640045, p_y = 7.124976, p_z = 337.500000, v_x= -0.087500, v_y = -0.580000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 80, p_x= -310.727539, p_y = 6.544976, p_z = 337.750000, v_x= -0.090000, v_y = -0.597500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 81, p_x= -310.817535, p_y = 5.947475, p_z = 338.000000, v_x= -0.092500, v_y = -0.615000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 82, p_x= -310.910034, p_y = 5.332475, p_z = 338.250000, v_x= -0.095000, v_y = -0.632500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 83, p_x= -311.005035, p_y = 4.699975, p_z = 338.500000, v_x= -0.097500, v_y = -0.650000, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 84, p_x= -311.102539, p_y = 4.049974, p_z = 338.750000, v_x= -0.100000, v_y = -0.667500, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 85, p_x= -311.202545, p_y = 3.382473, p_z = 339.000000, v_x= -0.102500, v_y = -0.685001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 86, p_x= -311.305054, p_y = 2.697473, p_z = 339.250000, v_x= -0.105000, v_y = -0.702501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 87, p_x= -311.410065, p_y = 1.994972, p_z = 339.500000, v_x= -0.107500, v_y = -0.720001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 88, p_x= -311.517578, p_y = 1.274972, p_z = 339.750000, v_x= -0.110000, v_y = -0.737501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 89, p_x= -311.627563, p_y = 0.537471, p_z = 340.000000, v_x= -0.112500, v_y = -0.755001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 90, p_x= -311.740051, p_y = -0.217529, p_z = 340.250000, v_x= -0.115000, v_y = -0.772501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 91, p_x= -311.855042, p_y = -0.990030, p_z = 340.500000, v_x= -0.117500, v_y = -0.790001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 92, p_x= -311.972534, p_y = -1.780030, p_z = 340.750000, v_x= -0.120000, v_y = -0.807501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 93, p_x= -312.092529, p_y = -2.587531, p_z = 341.000000, v_x= -0.122500, v_y = -0.825001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 94, p_x= -312.215027, p_y = -3.412532, p_z = 341.250000, v_x= -0.125000, v_y = -0.842501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 95, p_x= -312.340027, p_y = -4.255033, p_z = 341.500000, v_x= -0.127500, v_y = -0.860001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 96, p_x= -312.467529, p_y = -5.115033, p_z = 341.750000, v_x= -0.130000, v_y = -0.877501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 97, p_x= -312.597534, p_y = -5.992534, p_z = 342.000000, v_x= -0.132500, v_y = -0.895001, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

i = 98, p_x= -312.730042, p_y = -6.887535, p_z = 342.250000, v_x= -0.135000, v_y = -0.912501, v_z = 0.250000, Δv_x = -0.050000, Δv_y = -0.350000

